id,uname,cname,ucas,duration,qualification,entry,created_at,updated_at,universities_id,ucasletters_id,url
1,The University of Aberdeen,Animal Behaviour,C349,4 Years,BSc (Hons),,2016-08-03 20:25:56.556110,2016-08-03 20:25:56.556110,,,
2,The University of Aberdeen,Anthropology,L600,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:56.582915,2016-08-03 20:25:56.582915,,,http://www.abdn.ac.uk/study/courses/undergraduate/L600/
3,The University of Aberdeen,Applied Mathematics,G120,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.596491,2016-08-03 20:25:56.596491,,,http://www.abdn.ac.uk/study/courses/undergraduate/G120/
4,The University of Aberdeen,Applied Mathematics,G122,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:56.608687,2016-08-03 20:25:56.608687,,,http://www.abdn.ac.uk/study/courses/undergraduate/G122/
5,The University of Aberdeen,Archaeology,F421,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:56.623728,2016-08-03 20:25:56.623728,,,http://www.abdn.ac.uk/study/courses/undergraduate/F421/
6,The University of Aberdeen,Archaeology,F420,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.636978,2016-08-03 20:25:56.636978,,,http://www.abdn.ac.uk/study/courses/undergraduate/F420/
7,The University of Aberdeen,Behavioural Biology,C859,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.718467,2016-08-03 20:25:56.718467,,,http://www.abdn.ac.uk/study/courses/undergraduate/science/behaviouralbiology/
8,The University of Aberdeen,Behavioural Studies,C803,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.731838,2016-08-03 20:25:56.731838,,,http://www.abdn.ac.uk/study/courses/undergraduate/C803/
9,The University of Aberdeen,Behavioural Studies,C801,4 Years,MA (Hons),BBB Typical offerAABB Typical offer,2016-08-03 20:25:56.744494,2016-08-03 20:25:56.744494,,,http://www.abdn.ac.uk/study/courses/undergraduate/C801/
10,The University of Aberdeen,Biochemistry,C700,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.758471,2016-08-03 20:25:56.758471,,,http://www.abdn.ac.uk/study/courses/undergraduate/C700/
11,The University of Aberdeen,Biochemistry with Industrial Placement,C701,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.770893,2016-08-03 20:25:56.770893,,,http://www.abdn.ac.uk/study/courses/undergraduate/C701/
12,The University of Aberdeen,Biological Sciences,C900,4 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.782908,2016-08-03 20:25:56.782908,,,http://www.abdn.ac.uk/study/courses/undergraduate/C900/
13,The University of Aberdeen,Biological Sciences,C901,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.796420,2016-08-03 20:25:56.796420,,,
14,The University of Aberdeen,Biology,C100,4 Years,BSc (Hons),BBB - ABB Typical offerABB Typical offerAABB Typical offer,2016-08-03 20:25:56.816334,2016-08-03 20:25:56.816334,,,http://www.abdn.ac.uk/study/courses/undergraduate/C100/
15,The University of Aberdeen,Biology with Science (PGDE - Graduates only),C1X1,1 Years,PGDE,,2016-08-03 20:25:56.840308,2016-08-03 20:25:56.840308,,,http://www.abdn.ac.uk/study/courses/postgraduate/taught/secondary/
16,The University of Aberdeen,Biomedical Science (Anatomy),B9BC,4 Years,BSc (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.864878,2016-08-03 20:25:56.864878,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9BC/
17,The University of Aberdeen,Biomedical Science (Anatomy) with Industrial Placement,B9BD,5 Years,MSci (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.877215,2016-08-03 20:25:56.877215,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9BD/
18,The University of Aberdeen,Biomedical Science (Developmental Biology),B9C1,4 Years,BSc (Hons),ABB Typical offerAAB Typical offerAAAB Typical offer,2016-08-03 20:25:56.891341,2016-08-03 20:25:56.891341,,,http://www.abdn.ac.uk/study/courses/undergraduate/B9C1/
